1;Category1;Право;11
2;Category2;Лево;22
3;Category3;Вперед;33
5;Category5;Текст 5;55
6;Category6;Текст 6;66
7;Category7;Текст 7;77
8;Category8;Текст 8;88
9;Category99;Текст 9;99
10;Category10;Текст 10;110
11;Category11;Текст 11;121
12;Category12;Текст 12;132
13;Category13;Текст 13;143
14;Category14;Текст 14;154
15;Category15;Текст 15;165
16;Category16;Текст 16;176
17;Category17;Текст 17;187
18;Category18;Текст 18;198
19;Category19;Текст 19;209
20;Category20;Текст 20;220
21;Category21;Текст 21;231
22;Category22;Текст 22;242
23;Category23;Текст 23;253
24;Category24;Текст 24;264
25;Category25;Текст 25;275
26;Category26;Текст 26;286
27;Category27;Текст 27;297
28;Category28;Текст 28;308
29;Category29;Текст 29;319
30;Category30;Текст 30;330
31;Category31;Текст 31;341
32;Category32;Текст 32;352
33;Category33;Текст 33;363
34;Category34;Текст 34;374
35;Category35;Текст 35;385
36;Category36;Текст 36;396
37;Category37;Текст 37;407
38;Category38;Текст 38;418
39;Category39;Текст 39;429
40;Category40;Текст 40;440
41;Category41;Текст 41;451
42;Category42;Текст 42;462
43;Category43;Текст 43;473
44;Category44;Текст 44;484
45;Category45;Текст 45;495
46;Category46;Текст 46;506
47;Category47;Текст 47;517
48;Category48;Текст 48;528
49;Category49;Текст 49;539
50;Category50;Текст 50;550
51;Category51;Текст 51;561
52;Category52;Текст 52;572
53;Category53;Текст 53;583
54;Category54;Текст 54;594
55;Category55;Текст 55;605
56;Category56;Текст 56;616
57;Category57;Текст 57;627
58;Category58;Текст 58;638
59;Category59;Текст 59;649
60;Category60;Текст 60;660
61;Category61;Текст 61;671
62;Category62;Текст 62;682
63;Category63;Текст 63;693
64;Category64;Текст 64;704
65;Category65;Текст 65;715
66;Category66;Текст 66;726
67;Category67;Текст 67;737
68;Category68;Текст 68;748
69;Category69;Текст 69;759
70;Category70;Текст 70;770
71;Category71;Текст 71;781
72;Category72;Текст 72;792
73;Category73;Текст 73;803
74;Category74;Текст 74;814
75;Category75;Текст 75;825
76;Category76;Текст 76;836
77;Category77;Текст 77;847
78;Category78;Текст 78;858
79;Category79;Текст 79;869
80;Category80;Текст 80;880
81;Category81;Текст 81;891
82;Category82;Текст 82;902
83;Category83;Текст 83;913
84;Category84;Текст 84;924
85;Category85;Текст 85;935
86;Category86;Текст 86;946
87;Category87;Текст 87;957
88;Category88;Текст 88;968
89;Category89;Текст 89;979
90;Category90;Текст 90;990
91;Category91;Текст 91;1001
92;Category92;Текст 92;1012
93;Category93;Текст 93;1023
94;Category94;Текст 94;1034
95;Category95;Текст 95;1045
96;Category96;Текст 96;1056
97;Category97;Текст 97;1067
98;Category98;Текст 98;1078
99;Category99;Текст 99;1089
100;Category100;Текст 100;1100
101;Category101;Текст 101;1111
102;Category102;Текст 102;1122
103;Category103;Текст 103;1133
104;Category104;Текст 104;1144
105;Category105;Текст 105;1155
106;Category106;Текст 106;1166
107;Category107;Текст 107;1177
108;Category108;Текст 108;1188
109;Category109;Текст 109;1199
110;Category110;Текст 110;1210
111;Category111;Текст 111;1221
112;Category112;Текст 112;1232
113;Category113;Текст 113;1243
114;Category114;Текст 114;1254
115;Category115;Текст 115;1265
116;Category116;Текст 116;1276
117;Category117;Текст 117;1287
118;Category118;Текст 118;1298
119;Category119;Текст 119;1309
120;Category120;Текст 120;1320
121;Category121;Текст 121;1331
122;Category122;Текст 122;1342
123;Category123;Текст 123;1353
124;Category124;Текст 124;1364
125;Category125;Текст 125;1375
126;Category126;Текст 126;1386
127;Category127;Текст 127;1397
128;Category128;Текст 128;1408
129;Category129;Текст 129;1419
130;Category130;Текст 130;1430
131;Category131;Текст 131;1441
132;Category132;Текст 132;1452
133;Category133;Текст 133;1463
134;Category134;Текст 134;1474
135;Category135;Текст 135;1485
136;Category136;Текст 136;1496
137;Category137;Текст 137;1507
138;Category138;Текст 138;1518
139;Category139;Текст 139;1529
140;Category140;Текст 140;1540
141;Category141;Текст 141;1551
142;Category142;Текст 142;1562
143;Category143;Текст 143;1573
144;Category144;Текст 144;1584
145;Category145;Текст 145;1595
146;Category146;Текст 146;1606
147;Category147;Текст 147;1617
148;Category148;Текст 148;1628
149;Category149;Текст 149;1639
150;Category150;Текст 150;1650
151;Category151;Текст 151;1661
152;Category152;Текст 152;1672
153;Category153;Текст 153;1683
154;Category154;Текст 154;1694
155;Category155;Текст 155;1705
156;Category156;Текст 156;1716
157;Category157;Текст 157;1727
158;Category158;Текст 158;1738
159;Category159;Текст 159;1749
160;Category160;Текст 160;1760
161;Category161;Текст 161;1771
162;Category162;Текст 162;1782
163;Category163;Текст 163;1793
164;Category164;Текст 164;1804
165;Category165;Текст 165;1815
166;Category166;Текст 166;1826
167;Category167;Текст 167;1837
168;Category168;Текст 168;1848
169;Category169;Текст 169;1859
170;Category170;Текст 170;1870
171;Category171;Текст 171;1881
172;Category172;Текст 172;1892
173;Category173;Текст 173;1903
174;Category174;Текст 174;1914
175;Category175;Текст 175;1925
176;Category176;Текст 176;1936
177;Category177;Текст 177;1947
178;Category178;Текст 178;1958
179;Category179;Текст 179;1969
180;Category180;Текст 180;1980
181;Category181;Текст 181;1991
182;Category182;Текст 182;2002
183;Category183;Текст 183;2013
184;Category184;Текст 184;2024
185;Category185;Текст 185;2035
186;Category186;Текст 186;2046
187;Category187;Текст 187;2057
188;Category188;Текст 188;2068
189;Category189;Текст 189;2079
190;Category190;Текст 190;2090
191;Category191;Текст 191;2101
192;Category192;Текст 192;2112
193;Category193;Текст 193;2123
194;Category194;Текст 194;2134
195;Category195;Текст 195;2145
196;Category196;Текст 196;2156
197;Category197;Текст 197;2167
198;Category198;Текст 198;2178
199;Category199;Текст 199;2189
200;Category200;Текст 200;2200
201;Category201;Текст 201;2211
202;Category202;Текст 202;2222
203;Category203;Текст 203;2233
204;Category204;Текст 204;2244
205;Category205;Текст 205;2255
206;Category206;Текст 206;2266
207;Category207;Текст 207;2277
208;Category208;Текст 208;2288
209;Category209;Текст 209;2299
210;Category210;Текст 210;2310
211;Category211;Текст 211;2321
212;Category212;Текст 212;2332
213;Category213;Текст 213;2343
214;Category214;Текст 214;2354
215;Category215;Текст 215;2365
216;Category216;Текст 216;2376
217;Category217;Текст 217;2387
218;Category218;Текст 218;2398
219;Category219;Текст 219;2409
220;Category220;Текст 220;2420
221;Category221;Текст 221;2431
222;Category222;Текст 222;2442
223;Category223;Текст 223;2453
224;Category224;Текст 224;2464
225;Category225;Текст 225;2475
226;Category226;Текст 226;2486
227;Category227;Текст 227;2497
228;Category228;Текст 228;2508
229;Category229;Текст 229;2519
230;Category230;Текст 230;2530
231;Category231;Текст 231;2541
232;Category232;Текст 232;2552
233;Category233;Текст 233;2563
234;Category234;Текст 234;2574
235;Category235;Текст 235;2585
236;Category236;Текст 236;2596
237;Category237;Текст 237;2607
238;Category238;Текст 238;2618
239;Category239;Текст 239;2629
240;Category240;Текст 240;2640
241;Category241;Текст 241;2651
242;Category242;Текст 242;2662
243;Category243;Текст 243;2673
244;Category244;Текст 244;2684
245;Category245;Текст 245;2695
246;Category246;Текст 246;2706
247;Category247;Текст 247;2717
248;Category248;Текст 248;2728
249;Category249;Текст 249;2739
250;Category250;Текст 250;2750
251;Category251;Текст 251;2761
252;Category252;Текст 252;2772
253;Category253;Текст 253;2783
254;Category254;Текст 254;2794
255;Category255;Текст 255;2805
256;Category256;Текст 256;2816
257;Category257;Текст 257;2827
258;Category258;Текст 258;2838
259;Category259;Текст 259;2849
260;Category260;Текст 260;2860
261;Category261;Текст 261;2871
262;Category262;Текст 262;2882
263;Category263;Текст 263;2893
264;Category264;Текст 264;2904
265;Category265;Текст 265;2915
266;Category266;Текст 266;2926
267;Category267;Текст 267;2937
268;Category268;Текст 268;2948
269;Category269;Текст 269;2959
270;Category270;Текст 270;2970
271;Category271;Текст 271;2981
272;Category272;Текст 272;2992
273;Category273;Текст 273;3003
274;Category274;Текст 274;3014
275;Category275;Текст 275;3025
276;Category276;Текст 276;3036
277;Category277;Текст 277;3047
278;Category278;Текст 278;3058
279;Category279;Текст 279;3069
280;Category280;Текст 280;3080
281;Category281;Текст 281;3091
282;Category282;Текст 282;3102
283;Category283;Текст 283;3113
284;Category284;Текст 284;3124
285;Category285;Текст 285;3135
286;Category286;Текст 286;3146
287;Category287;Текст 287;3157
288;Category288;Текст 288;3168
